SID,Tapinothrix janthina,Phormidium,Leptolyngbya,Ulothrix,Cladophora glomerata,Gongrosira,Undetermined Cyanophyte,Undetermined Rhodophyte,Undetermined alga,Pleurocapsa,Scenedesmus acuminatus,Cosmarium subcrenatum,Closterium moniliferum,Ankistrodesmus falcatus,Staurastrum orbiculare,Scenedesmus ecornis,Calothrix,Pediastrum tetras,Mougeotia,Scenedesmus quadricauda,Oedogonium,Spirogyra,Scenedesmus spinosus,Trachelomonas hispida
PEQ4,158119658,32905983,41880342,7692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEQ5,0,1749362,1565219,0,736574,184143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEQ6,57910939,10219577,0,0,0,0,13626103,2868653,61138174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEQ7,6267803,0,0,0,0,895400,0,0,0,27981264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEQ8,0,0,0,0,1246437,0,0,0,0,78941027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEQ9,0,0,0,0,0,0,0,2834012,0,56680238,3778683,629780,314890,1574451,0,0,0,0,0,0,0,0,0,0
SAL4,62185825,5126669,4327707,0,0,6058790,4061387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL5,43188293,18842269,0,0,0,388500,1813002,0,0,0,0,0,0,0,64750,0,0,0,0,0,0,0,0,0
SAL6,19389047,66476734,11672998,0,0,4451567,0,0,0,0,0,0,0,197847,0,395695,0,0,0,0,0,0,0,0
SAL7,18323587,40058480,0,0,0,1754386,0,877193,0,0,0,0,0,1267057,0,1949318,6237817,1754386,292398,389864,389864,0,0,0
SAL8,11190082,0,1582436,0,0,2034560,0,0,0,0,0,0,0,678187,0,452125,13111611,0,0,452125,0,791218,0,0
SAL9,11860869,0,0,0,0,7539467,0,735558,0,4137513,0,0,0,0,0,367779,15354769,0,459724,0,1103337,0,367779,0
NOR4,9567899,0,0,0,0,3311965,0,0,0,0,0,0,0,0,0,735992,0,0,0,0,1471984,0,0,0
NOR5,2000296,956663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR6,2849003,0,0,0,0,1899335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR7,0,0,4255319,0,0,1636661,0,1309329,0,0,0,0,0,0,0,0,0,0,0,327332,0,0,0,0
NOR8,0,0,0,0,0,3116096,0,2243589,0,31160958,0,0,0,0,0,0,0,0,0,498575,0,0,0,124644
NOR9,0,11027564,3296901,0,0,0,0,1477921,0,16370817,0,0,0,0,0,0,0,0,0,0,0,682117,0,0
